X0,Y0,Z0,treatments,days
19.26,18.01,8.00,PU+Quercetin,1
15.01,14.15,6.96,PU+Quercetin,1
14.74,13.79,7.08,PU+Quercetin,1
19.04,17.84,8.09,PU+Quercetin,1
15.76,14.82,6.81,PU+Quercetin,2
20.99,19.56,8.08,PU+Quercetin,2
15.83,16.68,6.29,PU+Quercetin,2
18.18,16.68,6.90,PU+Quercetin,2
20.29,18.58,7.39,PU+Quercetin,2
17.94,16.49,6.68,PU+Quercetin,2
20.14,18.76,7.78,PU+Quercetin,2
14.72,13.72,6.65,PU+Quercetin,2
17.03,15.57,6.84,PU+Quercetin,2
18.80,17.55,7.47,PU+Quercetin,2
17.92,16.68,7.09,PU+Quercetin,4
22.20,20.59,8.26,PU+Quercetin,4
15.59,14.42,6.47,PU+Quercetin,4
20.52,18.81,7.28,PU+Quercetin,4
20.89,19.11,7.60,PU+Quercetin,4
18.54,17.07,7.05,PU+Quercetin,4
19.99,18.57,7.72,PU+Quercetin,4
16.20,15.12,7.08,PU+Quercetin,4
21.81,20.17,8.49,PU+Quercetin,4
19.76,18.09,7.34,PU+Quercetin,4
